Stock Industry & NSE/BSE Code,,
,,
Stock,Industry,NSE/BSE Code
TCS,IT,BOM:532540
HUL,FMCG,HINDUNILVR
Airtel,Telecom,BHARTIARTL
Bajaj Finance,NBFC,BAJFINANCE
Asian Paints,Paint,ASIANPAINT
HCL Tech,IT,HCLTECH
Maruti Suzuki,Automobile,MARUTI
Avenue Supermart,Retail,DMART
L&T,Infrastructure,BOM:500510
Bajaj Finserv,Financial Servcies,BAJAJFINSV
Nestle,FMCG,NESTLEIND
Ultratech Cement,Cement,ULTRACEMCO
M&M,Automobile,M&M
Bajaj Auto,Automobile,BAJAJ-AUTO
Pidilite Industries,Chemical,PIDILITIND
SBI life Insurance,Insurance,SBILIFE
Tata Steel,Infrastructure,BOM:500470
Divi's Lab,Pharma,DIVISLAB
Tech Mahindra,IT,TECHM
Dabur,FMCG,DABUR
Britannia,FMCG,BRITANNIA
Eicher Motor,Automobile,EICHERMOT
Cipla,Pharma,CIPLA
Ambuja Cement,Cement,BOM:500425
SBI Cards,Financial Servcies,SBICARD
L&T Infotech,IT,BOM:540005
Havells India,Consumer Electrical,HAVELLS
Nykaa,Technology,BOM:543384
Tata Consumer Product,FMCG,TATACONSUM
Tata Power,Infrastructure,BOM:500400
Marico,FMCG,MARICO
Berger Paint,Paint,BERGEPAINT
Motherson Sumi,Automobile Ancilliary,BOM:517334
Hero Motocorp,Automobile,HEROMOTOCO
Zomato,Technology,BOM:543320
Infoedge,Technology,BOM:532777
Tata Elxsi,IT-Software,TATAELXSI
UPL,Agrochemical,BOM:512070
IRCTC,Catering,IRCTC
Bandhan Bank,Bank,BANDHANBNK
Page Industries,Textile,PAGEIND
P&G Health,Pharma,BOM:500459
Mphasis,IT,BOM:526299
Paytm,Technology,BOM:543396
Balkrishna Industries,Tyre,BALKRISIND
Ashok Leyland,Automobile,ASHOKLEY
Muthoot Finance,NBFC,MUTHOOTFIN
United Breweries,Spirits,UBL
HDFC AMC,AMC,HDFCAMC
PI industries,Agrochemical,PIIND
TVS,Automobile,BOM:532343
Trent,Retail,BOM:500251
sona comstar,automobile,BOM:543300
Astral Poly Technic,Piping,ASTRAL
Polycab,Consumer Electrical,POLYCAB
Aurobindo Pharma,Pharma,AUROPHARMA
Honeywell Auto,Automobile Ancilliary,HONAUT
MRF,Tyre,BOM:500290
Gujarat Florochemical,chemical,BOM:542812
Gujarat Gas,Utility,GUJGASLTD
Max Financials,Financial Servcies,BOM:500271
Coromandel International,Agrochemical,COROMANDEL
PB Fintech,Technology,BOM:543390
Indraprastha Gas,Utility,BOM:532514
Lauras Lab,Pharma,LAURUSLABS
Deepak Nitrite,Chemical,DEEPAKNTR
Relaxo Footwear,Footwear,RELAXO
Persistent System,IT,PERSISTENT
3M India,Technology,3MINDIA
IPCA Lab,Pharma,IPCALAB
Bata India,Footwear,BATAINDIA
Coforge,Technology,BOM:532541
APL Apollo,Steel,BOM:533758
Crompton Greves,Consumer Electrical,CROMPTON
Supreme Industries,Plastic,SUPREMEIND
Bayer Cropscience,Agrochemical,BAYERCROP
Sumitomo Chemicals,Agrochemical,SUMICHEM
Dixon Technologies,Manufacturing,DIXON
Tata Chemical,Chemical,BOM:500770
Vinita Organics,Chemical,VINATIORGA
Whirlpool,Consumer Electrical,WHIRLPOOL
IDFC First,Bank,BOM:539437
Endurance Technology,Automobile Ancilliary,ENDURANCE
Pfizer,Pharma,BOM:500680
Trident,Textile,BOM:521064
Navin Flourine,Chemical,BOM:532504
LIC Housing Finance,NBFC,BOM:500253
Dr Lal Path Lab,Healthcare,LALPATHLAB
IEX,Technology,BOM:540750
clean science,Chemical,BOM:543318
Fine Organics,Chemical,FINEORG
Alembic Pharma,Pharma,APLLTD
Affle India,Technology,AFFLE
Tanla Platform,Technology,BOM:532790
KPIT,IT,BOM:542651
Sheela Form,Form,BOM:540203
Indiamart Intermesh,Technology,INDIAMART
Happiest Mind,IT,BOM:543227
CDSL,Technology,CDSL
Exide Battery,Automobile Ancilliary,EXIDEIND
Century Plyboard,Playboard,BOM:532548
TTK Prestige,Consumer Electrical,TTKPRESTIG
CAMS,Technology,NSE:CAMS
Radico Khaitan,Spirits,BOM:532497
KEI Industries,Consumer Electrical,BOM:517569
Galaxy Surfactant,Chemical,GALAXYSURF
Birlasoft,IT,BOM:532400
Balaji Amine,Chemical,BOM:530999
Mediplus,Retail,BOM:543427
Finolex Industries,Piping,BOM:500940
Borosil Renewable,Manufacturing,BOM:502219
UTI AMC,AMC,BOM:543238
Amara Raja Batter,Automobile Ancilliary,AMARAJABAT
Route Mobile,Technology,BOM:543228
Laxmi Orgamic,Chemical,BOM:543277
HFCL,Telecom,BOM:500183
Mahangar Gas,Utility,BOM:539957
Mannapuran Finance,NBFC,MANAPPURAM
Amber Enterprise,Manufacturing,BOM:540902
Poly Medicure Ltd,Healthcare,BOM:531768
Polyplex Corporation,packaging,BOM:524051
Sonata Software,IT-Software,SONATSOFTW
Astrazeneca,Pharma,BOM:506820
Latent View,IT,BOM:543398
Praj Industries,Manufacturing,BOM:522205
ICICI Bank,Bank,BOM:532174
Granules India,Pharma,BOM:532482
TCI Express,Logistic,BOM:540212
Zensar Tech,IT,BOM:504067
Mastek,IT,BOM:523704
Garware technical,Textile,GARFIBRES
GMM Pfaudler,Manufacturing,GMMPFAUDLR
Sterlite technology,Telecom,BOM:532374
Orient Electric,Consumer Electrical,ORIENTELEC
Avanti Feed,Food,AVANTIFEED
Cera Sanitaryware,Ceramics,BOM:532443
craftsman automation,automobile,BOM:543276
Bharat Rasayan,Agrochemical,BOM:590021
Heidelberg Cement,Cement,BOM:500292
Astec Lifesciences,Pharma,BOM:533138
Aarti Drugs,Pharma,BOM:524348
Data Pattern,Technology,BOM:543428
Thyrocare,Healthcare,THYROCARE
Neogen Chemcial,Chemical,BOM:542665
Dhanuka Agritech,Agrochemical,BOM:507717
Advance Enzymes,Chemical,ADVENZYMES
Wipro,IT,BOM:507685
Newgen,IT,BOM:540900
Sequent Science,Pharma,BOM:512529
Mold tech,,BOM:533080
Tasty Bite Eatable,Food,TASTYBITE
Heranba,Agrochemical,BOM:543266
Paras Defense,Defence,BOM:543367
Gokaldas Export,,BOM:532630
Somany home innovation ltd,Kitchen Appliances,BOM:542905
Tata Motor,Automobile,BOM:500570
Bhansali Engineering,,BOM:500052
Apollo pipes,Piping,BOM:531761
Garware hi-tech,Textile,BOM:500655
Chemcom Speciality,Chemical,CHEMCON
Nureca,Pharma,BOM:543264
Dr Reddy,Pharma,DRREDDY
HDFC Bank,Bank,HDFCBANK
Finolex Cable,Consumer Electrical,FINCABLES
Nippon AMC,AMC,BOM:540767
Abbott India,Pharma,ABBOTINDIA
Axis Bank,Bank,AXISBANK
Bank of Baroda,Bank,BOM:532134
SBI Bank,Bank,BOM:500112
Federal Bank,Bank,BOM:500469
Shree Cement,Cement,SHREECEM
Infosys,IT,BOM:500209
Reliance,Telecom and oil,RELIANCE
Gujarat Ambuja Export,,BOM:524226
Acrysil Ltd,Manufacturing,BOM:524091
HDFC life Insurance,Insurance,HDFCLIFE
J K Cement,Cement,BOM:532644
ICICI Pru life insurance,Insurance,ICICIPRULI
Titan,Retail,BOM:500114
Goldiam International,Retail,BOM:526729
United Spirits,Spirits,MCDOWELL-N
Rossari Biotech,Chemical,BOM:543213
Kansai Nerolac,Paint,KANSAINER
Voltas,Consumer Electrical,BOM:500575
Chemplast sanmar,,BOM:543336
L&T Technology,Technology,BOM:540115
Yesbank,Bank,BOM:532648
Gland Pharma,Pharma,BOM:543245
Hawkins Cooker,Consumer Electrical,BOM:508486
MTAR,Defence,BOM:543270
Vaibhav Global,Retail,BOM:532156
Atul Ltd,Chemical,BOM:500027
MapmyIndia,Technology,BOM:543425
Sun pharma,Pharma,SUNPHARMA
Caplin Point,Pharma,BO:524742
Cyient,IT-Software,CYIENT
Varun Beverage,Food,BOM:540180
Prince Pipe,Piping,BOM:542907
Jubilant FoodWorks,Food,JUBLFOOD
Alkyl Amine,Chemical,ALKYLAMINE
HDFC,Financial Servcies,HDFC
AU Small Finance,Small Finance,AUBANK
Hindustan Food,FMCG,BOM:519126
Solar Industries,Defence,BOM:532725
Kotak Bank,Bank,KOTAKBANK
stove kraft,kitchen,BOM:543260
Godrej Consumer,FMCG,BOM:532424
Solara Active,Pharma,BOM:541540
Kajaria Ceramic,Ceramic,KAJARIACER
Krisna dignostic,,BOM:543328
Metropolis Healthcare,Healthcare,METROPOLIS
Aarti Industries,Chemical,AARTIIND
Subex,Technology,BOM:532348
Crisil,Reserach,CRISIL
Lux Industries,Textile,BOM:539542
LIC,Insurance,BOM:543526